CountryName,Year,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Unemployment,Labour force participation rate,"Balance of payments, current account",CPI: Consumer Price Index
French Guiana,2015,NA,NA,NA,NA,NA,NA,"21.3h,i","48.4 / 58.8f,h,i",NA,105
French Guiana,2021,NA,NA,NA,NA,NA,NA,NA,... / ...,NA,"108k,d"
French Polynesia,2010,6 081,-2.5,22 820.8,2.5,12.3,85.2,14.3,48.6 / 64.2,-18,NA
French Polynesia,2015,5 324,1.8,19 491.9,3.6,12,84.4,13.8,48.6 / 62.4,291,"122i,j"
French Polynesia,2021,6 023c,2.4c,21 566.9c,3.6c,11.9c,84.5c,11.9g,47.4 / 60.1g,412k,NA
Gabon,2010,14 359,7.1,8 840.8,4.2,59.6,36.2,20.4,40.2 / 58.4,2 453,100
Gabon,2015,14 372,3.9,7 379.2,4.7,51.9,43.4,20.3,42.5 / 59.7,141,109
Gabon,2021,16 888b,3.6b,7 773.2b,5.5b,49.1b,45.4b,20.2d,43.8 / 61.9d,NA,124d
Gambia,2010,1 543,5.9,860.6,37.4,10.4,52.2,9.4,49.7 / 68.0,17,100
Gambia,2015,1 378,4.1,660.7,24.3,18.8,56.9,9.3,50.6 / 67.8,-99,131
Gambia,2021,1 823b,6.1b,776.4b,20.1b,17.5b,62.4b,9.1d,51.4 / 68.1d,-79k,183d
